n_start,val_max_H1,val_sum_H1,val_num_H1,nu2_max_H1,nu2_sum_H1,nu2_num_H1,UMAP1,UMAP2,steps_to_1,max_value,nu2_0_mean,delta_nu2_total_mean
3,0.0,0.0,0,0.0,0.0,0,-12.495957,5.0194607,7,16,0.0,0.0
4,0.0,0.0,0,0.0,0.0,0,-13.318064,5.0492234,2,4,2.0,-2.0
5,0.0,0.0,0,0.0,0.0,0,-13.641596,4.745865,5,16,0.0,0.0
6,0.0,0.0,0,0.0,0.0,0,-12.204566,4.350401,8,16,1.0,-1.0
7,0.0,0.0,0,0.0,0.0,0,-8.839947,1.7638329,16,52,0.0,0.0
8,0.0,0.0,0,0.0,0.0,0,-13.467737,4.6187444,3,8,3.0,-3.0
9,0.0,0.0,0,0.0,0.0,0,-11.2061405,2.4997363,19,52,0.0,0.0
10,0.0,0.0,0,0.0,0.0,0,-13.06821,4.4876976,6,16,1.0,-1.0
11,0.2355995178222656,0.2355995178222656,0,0.0,0.0,0,-11.925885,2.3361032,14,52,0.0,0.0
12,0.0,0.0,0,0.0,0.0,0,-12.426493,3.776371,9,16,2.0,-2.0
13,0.0,0.0,0,0.0,0.0,0,-12.225641,3.5757885,9,40,0.0,0.0
14,0.0,0.0,0,0.0,0.0,0,-9.240534,4.2700696,17,52,1.0,-1.0
15,0.0,0.0,0,0.0,0.0,0,-8.523131,4.447965,17,160,0.0,0.0
16,0.0,0.0,0,0.0,0.0,0,-13.910075,4.492061,4,16,4.0,-4.0
17,0.2355995178222656,0.2355995178222656,0,0.0,0.0,0,-11.80192,4.626868,12,52,0.0,0.0
18,0.0,0.0,0,0.0,0.0,0,-11.003918,1.3727705,20,52,1.0,-1.0
19,0.0,0.0,0,0.0,0.0,0,-10.84717,1.1440156,20,88,0.0,0.0
20,0.0,0.0,0,0.0,0.0,0,-12.608715,4.654775,7,20,2.0,-2.0
21,0.0,0.0,0,0.0,0.0,0,-12.863091,4.890572,7,64,0.0,0.0
22,0.0,0.0,0,0.0,0.0,0,-11.854165,2.7060149,15,52,1.0,-1.0
23,0.0,0.0,0,0.0,0.0,0,-12.080685,2.782937,15,160,0.0,0.0
24,0.0,0.0,0,0.0,0.0,0,-12.634569,3.181554,10,24,3.0,-3.0
25,0.0,0.0,0,0.0,0.0,0,-10.882616,2.8954804,23,88,0.0,0.0
26,0.2355995178222656,0.2355995178222656,0,0.1474766731262207,0.1474766731262207,0,-12.335449,3.111996,10,40,1.0,-1.0
27,0.0,0.0,0,0.0,0.0,0,-7.4053264,1.6502277,111,9232,0.0,0.0
28,0.0,0.0,0,0.0,0.0,0,-10.400137,3.449896,18,52,2.0,-2.0
29,0.0,0.0,0,0.0,0.0,0,-10.567393,3.2626083,18,88,0.0,0.0
30,0.0,0.0,0,0.0,0.0,0,-10.202072,3.7663805,18,160,1.0,-1.0
31,0.0,0.0,0,0.0,0.0,0,-7.0546174,1.3635573,106,9232,0.0,0.0
32,0.0,0.0,0,0.0,0.0,0,-14.041139,4.354419,5,32,5.0,-5.0
33,0.0,0.0,0,0.0,0.0,0,-9.56519,3.0885444,26,100,0.0,0.0
