n_start,step,value,nu2,delta_nu2
1,0,1,0,
2,0,2,1,
2,1,1,0,-1.0
3,0,3,0,
3,1,10,1,1.0
3,2,5,0,-1.0
3,3,16,4,4.0
3,4,8,3,-1.0
3,5,4,2,-1.0
3,6,2,1,-1.0
3,7,1,0,-1.0
4,0,4,2,
4,1,2,1,-1.0
4,2,1,0,-1.0
5,0,5,0,
5,1,16,4,4.0
5,2,8,3,-1.0
5,3,4,2,-1.0
5,4,2,1,-1.0
5,5,1,0,-1.0
6,0,6,1,
6,1,3,0,-1.0
6,2,10,1,1.0
6,3,5,0,-1.0
6,4,16,4,4.0
6,5,8,3,-1.0
6,6,4,2,-1.0
6,7,2,1,-1.0
6,8,1,0,-1.0
7,0,7,0,
7,1,22,1,1.0
7,2,11,0,-1.0
7,3,34,1,1.0
7,4,17,0,-1.0
7,5,52,2,2.0
7,6,26,1,-1.0
7,7,13,0,-1.0
7,8,40,3,3.0
7,9,20,2,-1.0
7,10,10,1,-1.0
7,11,5,0,-1.0
7,12,16,4,4.0
7,13,8,3,-1.0
7,14,4,2,-1.0
7,15,2,1,-1.0
7,16,1,0,-1.0
8,0,8,3,
8,1,4,2,-1.0
8,2,2,1,-1.0
8,3,1,0,-1.0
9,0,9,0,
9,1,28,2,2.0
9,2,14,1,-1.0
9,3,7,0,-1.0
9,4,22,1,1.0
9,5,11,0,-1.0
9,6,34,1,1.0
9,7,17,0,-1.0
9,8,52,2,2.0
9,9,26,1,-1.0
9,10,13,0,-1.0
9,11,40,3,3.0
9,12,20,2,-1.0
9,13,10,1,-1.0
9,14,5,0,-1.0
9,15,16,4,4.0
9,16,8,3,-1.0
9,17,4,2,-1.0
9,18,2,1,-1.0
9,19,1,0,-1.0
10,0,10,1,
10,1,5,0,-1.0
10,2,16,4,4.0
10,3,8,3,-1.0
10,4,4,2,-1.0
10,5,2,1,-1.0
10,6,1,0,-1.0
11,0,11,0,
11,1,34,1,1.0
11,2,17,0,-1.0
11,3,52,2,2.0
11,4,26,1,-1.0
11,5,13,0,-1.0
11,6,40,3,3.0
11,7,20,2,-1.0
11,8,10,1,-1.0
11,9,5,0,-1.0
11,10,16,4,4.0
11,11,8,3,-1.0
11,12,4,2,-1.0
11,13,2,1,-1.0
11,14,1,0,-1.0
12,0,12,2,
12,1,6,1,-1.0
12,2,3,0,-1.0
12,3,10,1,1.0
12,4,5,0,-1.0
12,5,16,4,4.0
12,6,8,3,-1.0
12,7,4,2,-1.0
12,8,2,1,-1.0
12,9,1,0,-1.0
13,0,13,0,
13,1,40,3,3.0
13,2,20,2,-1.0
13,3,10,1,-1.0
13,4,5,0,-1.0
13,5,16,4,4.0
13,6,8,3,-1.0
13,7,4,2,-1.0
13,8,2,1,-1.0
13,9,1,0,-1.0
14,0,14,1,
14,1,7,0,-1.0
14,2,22,1,1.0
14,3,11,0,-1.0
14,4,34,1,1.0
14,5,17,0,-1.0
14,6,52,2,2.0
14,7,26,1,-1.0
14,8,13,0,-1.0
14,9,40,3,3.0
14,10,20,2,-1.0
14,11,10,1,-1.0
14,12,5,0,-1.0
14,13,16,4,4.0
14,14,8,3,-1.0
14,15,4,2,-1.0
14,16,2,1,-1.0
