n_start,nu2_t0,nu2_t1,nu2_t2,nu2_t3,nu2_t4,nu2_t5,nu2_t6,nu2_t7,nu2_t8,nu2_t9,nu2_t10,nu2_t11,nu2_t12,nu2_t13,nu2_t14,nu2_t15,nu2_t16,nu2_t17,nu2_t18,nu2_t19
1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,0,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1
8,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0
10,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1
12,2,1,0,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1
15,0,1,0,1,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1,-1
16,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1
18,1,0,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1
19,0,1,0,3,2,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1
20,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,0,6,5,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1
23,0,1,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1
24,3,2,1,0,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,0,2,1,0,1,0,3,2,1,0,1,0,2,1,0,3,2,1,0,4
26,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,0,1,0,2,1,0,1,0,1,0,1,0,1,0,2,1,0,2,1,0
28,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1
29,0,3,2,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1
30,1,0,1,0,1,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1
31,0,1,0,1,0,1,0,1,0,2,1,0,2,1,0,1,0,2,1,0
32,5,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,2,1,0,2,1,0,1,0,3,2,1,0,1,0,2,1,0,3,2
34,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1
35,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1
36,2,1,0,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2
37,0,4,3,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3,2
38,1,0,1,0,3,2,1,0,1,0,2,1,0,3,2,1,0,4,3,2
