n_start,x_t0,x_t1,x_t2,x_t3,x_t4,x_t5,x_t6,x_t7,x_t8,x_t9,x_t10,x_t11,x_t12,x_t13,x_t14,x_t15,x_t16,x_t17,x_t18,x_t19
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,6,3,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1
8,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1
10,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1
12,12,6,3,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1
15,15,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1
16,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1
18,18,9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2
19,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2
20,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,21,64,32,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1
23,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1
24,24,12,6,3,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16
26,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,27,82,41,124,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91
28,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1
29,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1
30,30,15,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1
31,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103
32,32,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,33,100,50,25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20
34,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1
35,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1
36,36,18,9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4
37,37,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4
38,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4
39,39,118,59,178,89,268,134,67,202,101,304,152,76,38,19,58,29,88,44,22
40,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,41,124,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137
42,42,21,64,32,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,43,130,65,196,98,49,148,74,37,112,56,28,14,7,22,11,34,17,52,26
44,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1
45,45,136,68,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1
46,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1,-1
47,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103,310,155
48,48,24,12,6,3,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1
49,49,148,74,37,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10,5
50,50,25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5
51,51,154,77,232,116,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5
52,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1
53,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1
54,54,27,82,41,124,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182
55,55,166,83,250,125,376,188,94,47,142,71,214,107,322,161,484,242,121,364,182
56,56,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1
57,57,172,86,43,130,65,196,98,49,148,74,37,112,56,28,14,7,22,11,34
58,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1
59,59,178,89,268,134,67,202,101,304,152,76,38,19,58,29,88,44,22,11,34
60,60,30,15,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1
61,61,184,92,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1
62,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206
63,63,190,95,286,143,430,215,646,323,970,485,1456,728,364,182,91,274,137,412,206
64,64,32,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,65,196,98,49,148,74,37,112,56,28,14,7,22,11,34,17,52,26,13,40
66,66,33,100,50,25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40
67,67,202,101,304,152,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40
68,68,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1
69,69,208,104,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1
70,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1
71,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103,310,155,466,233
72,72,36,18,9,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8
73,73,220,110,55,166,83,250,125,376,188,94,47,142,71,214,107,322,161,484,242
74,74,37,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10,5,16,8
75,75,226,113,340,170,85,256,128,64,32,16,8,4,2,1,-1,-1,-1,-1,-1
76,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8
77,77,232,116,58,29,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8
78,78,39,118,59,178,89,268,134,67,202,101,304,152,76,38,19,58,29,88,44
79,79,238,119,358,179,538,269,808,404,202,101,304,152,76,38,19,58,29,88,44
80,80,40,20,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,81,244,122,61,184,92,46,23,70,35,106,53,160,80,40,20,10,5,16,8
82,82,41,124,62,31,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274
83,83,250,125,376,188,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274
84,84,42,21,64,32,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,85,256,128,64,32,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,86,43,130,65,196,98,49,148,74,37,112,56,28,14,7,22,11,34,17,52
87,87,262,131,394,197,592,296,148,74,37,112,56,28,14,7,22,11,34,17,52
88,88,44,22,11,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1
89,89,268,134,67,202,101,304,152,76,38,19,58,29,88,44,22,11,34,17,52
90,90,45,136,68,34,17,52,26,13,40,20,10,5,16,8,4,2,1,-1,-1
91,91,274,137,412,206,103,310,155,466,233,700,350,175,526,263,790,395,1186,593,1780
92,92,46,23,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1
93,93,280,140,70,35,106,53,160,80,40,20,10,5,16,8,4,2,1,-1,-1
94,94,47,142,71,214,107,322,161,484,242,121,364,182,91,274,137,412,206,103,310
95,95,286,143,430,215,646,323,970,485,1456,728,364,182,91,274,137,412,206,103,310
96,96,48,24,12,6,3,10,5,16,8,4,2,1,-1,-1,-1,-1,-1,-1,-1
97,97,292,146,73,220,110,55,166,83,250,125,376,188,94,47,142,71,214,107,322
98,98,49,148,74,37,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10
99,99,298,149,448,224,112,56,28,14,7,22,11,34,17,52,26,13,40,20,10
100,100,50,25,76,38,19,58,29,88,44,22,11,34,17,52,26,13,40,20,10
