UMAP1,UMAP2,n_start
-13.363301,4.9373574,1
-13.224874,4.5641847,2
-12.495957,5.0194607,3
-13.318064,5.0492234,4
-13.641596,4.745865,5
-12.204566,4.350401,6
-8.839947,1.7638329,7
-13.467737,4.6187444,8
-11.2061405,2.4997363,9
-13.06821,4.4876976,10
-11.925885,2.3361032,11
-12.426493,3.776371,12
-12.225641,3.5757885,13
-9.240534,4.2700696,14
-8.523131,4.447965,15
-13.910075,4.492061,16
-11.80192,4.626868,17
-11.003918,1.3727705,18
-10.84717,1.1440156,19
-12.608715,4.654775,20
-12.863091,4.890572,21
-11.854165,2.7060149,22
-12.080685,2.782937,23
-12.634569,3.181554,24
-10.882616,2.8954804,25
-12.335449,3.111996,26
-7.4053264,1.6502277,27
-10.400137,3.449896,28
-10.567393,3.2626083,29
-10.202072,3.7663805,30
-7.0546174,1.3635573,31
-14.041139,4.354419,32
-9.56519,3.0885444,33
-11.367564,3.5346458,34
-11.499135,3.792257,35
-8.684681,2.3645778,36
-8.785857,2.4749796,37
-8.961444,2.7233152,38
-9.291499,1.2107929,39
-12.211165,4.2936134,40
-6.822436,1.4514159,41
-12.44418,4.5776873,42
-9.682875,1.8608619,43
-8.635992,1.8557575,44
-8.4666195,1.718616,45
-8.516181,1.4997121,46
-6.751417,1.2837229,47
-13.620388,3.535002,48
-10.516825,1.1452788,49
-10.761569,1.5448617,50
-10.234746,1.3424706,51
-13.204995,3.1961713,52
-13.417019,3.2232358,53
-6.8823776,0.92154884,54
-6.5671086,1.1373717,55
-11.106118,2.372242,56
-8.513306,0.96728164,57
-11.048261,2.1305554,58
-9.948809,1.5834368,59
-10.891313,2.1569963,60
-10.840895,2.34384,61
-6.2700706,0.7317003,62
-7.046911,0.57959414,63
-13.787825,4.113027,64
-9.913869,1.228312,65
-9.975921,2.2026606,66
-9.782419,1.6020998,67
-12.096254,1.9702235,68
-12.370105,2.2253692,69
-12.18517,1.8894892,70
-6.4269414,0.7815409,71
-9.256524,3.4440384,72
-5.9474883,0.48854133,73
-8.988598,3.6578817,74
-12.171412,1.729287,75
-9.1460085,3.5894332,76
-8.940521,3.4016488,77
-8.156145,0.5398077,78
-7.8292713,0.36446315,79
-12.809747,3.7025464,80
-8.648231,3.1657267,81
-6.7156615,0.39504185,82
-6.6874056,0.39665145,83
-12.476882,3.9883318,84
-12.708193,4.1714773,85
-9.393297,0.61302006,86
-9.53967,0.77366483,87
-9.020373,4.3514266,88
-8.692415,0.66617256,89
-8.926683,4.4126415,90
-6.2672944,0.5504003,91
-8.50351,4.6065836,92
-8.261462,4.434024,93
-6.32775,0.11849523,94
-6.6964173,-0.07595315,95
-13.974673,3.9506907,96
-7.479906,0.2505633,97
-9.522106,2.733094,98
-9.961336,2.7048748,99
-9.205225,2.2700574,100
