UMAP1,UMAP2,n_start
10.515883,11.714811,1
10.603066,12.005226,2
10.678534,10.976274,3
10.430108,11.8289,4
10.141762,11.923871,5
10.30716,10.685265,6
5.5815773,6.32384,7
10.398221,12.182794,8
7.7408905,6.858706,9
10.888353,11.579351,10
9.322393,6.4251385,11
9.920348,10.62625,12
9.697895,10.857851,13
4.5594406,6.705525,14
4.1536283,6.8145,15
9.99773,12.3695345,16
8.446878,9.957375,17
7.456014,8.808836,18
7.6547723,8.977295,19
10.603798,11.093443,20
11.028528,11.234788,21
6.9893003,9.731045,22
7.0605855,9.756519,23
9.785929,11.324453,24
7.1053658,6.420744,25
9.577925,11.443618,26
6.7548394,6.678355,27
8.241595,7.691783,28
8.17128,7.780959,29
7.817901,8.013532,30
7.32401,6.5698404,31
9.846071,12.250441,32
5.957527,8.033211,33
9.232954,8.24207,34
9.496604,8.602283,35
6.5991116,7.2181873,36
6.3992143,7.1766334,37
6.2969003,7.3271146,38
8.575587,6.357934,39
10.069854,10.811429,40
7.0577106,6.898549,41
10.988108,10.85663,42
9.199496,7.8897047,43
5.5859876,6.081504,44
5.3286395,6.3027506,45
5.80805,6.164558,46
6.9515266,7.639644,47
9.02011,11.698991,48
9.623852,10.160146,49
7.304721,9.141654,50
7.786095,9.261383,51
8.719088,11.261208,52
9.0413065,11.4614,53
6.348676,8.442251,54
6.516271,8.667994,55
7.9474964,6.7539506,56
5.5046096,6.4396157,57
7.8048553,7.0508423,58
7.4857144,7.5424943,59
8.357249,7.0481405,60
8.24118,6.864227,61
6.664215,8.082848,62
6.914205,9.357108,63
9.97973,12.236911,64
8.359005,10.592288,65
8.414574,8.202789,66
8.684995,8.61046,67
9.610116,6.182291,68
9.617349,6.314485,69
9.235903,5.9743137,70
6.9301896,8.714484,71
5.956296,8.60529,72
6.97619,7.79878,73
5.8181896,8.894359,74
9.487955,6.5151806,75
6.0023766,8.993517,76
5.7968755,8.677626,77
6.696248,9.453918,78
7.1420646,9.571321,79
9.525012,10.749478,80
5.8505244,7.295618,81
7.707929,8.571512,82
7.9866433,9.000337,83
10.632367,10.379868,84
11.111268,10.655954,85
8.656575,5.897798,86
9.063694,6.194947,87
4.559776,6.65713,88
6.0782595,6.322927,89
4.453485,7.0965133,90
7.063543,7.202923,91
4.0786686,6.722998,92
4.269209,6.9253874,93
7.484186,8.079033,94
8.812121,7.9264083,95
9.416172,12.108476,96
7.724657,6.088601,97
9.831158,10.086075,98
10.14505,9.950165,99
6.4954123,6.839858,100
